experience_level,employment_type,job_title,salary_in_usd,popularity,popularity_r,popularity_dr
EN,FT,"Machine Learning Engineer",21844,569,569,341
EN,PT,"Data Scientist",21669,570,570,342
EN,FT,"Data Engineer",21637,571,571,343
SE,FT,"Data Scientist",20171,572,572,344
MI,FT,"Product Data Analyst",20000,573,573,345
EN,FT,"Machine Learning Engineer",20000,574,573,345
MI,FL,"Data Engineer",20000,575,573,345
EN,FT,"Data Analytics Engineer",20000,576,573,345
MI,FT,"Data Analyst",20000,577,573,345
MI,FT,"Lead Data Analyst",19609,578,578,346
SE,FT,"Computer Vision Engineer",18907,579,579,347
MI,FT,"Business Data Analyst",18442,580,580,348
EN,FT,"Data Scientist",18442,581,580,348
EN,FT,"AI Scientist",18053,582,582,349
MI,FT,"Big Data Engineer",18000,583,583,350
MI,FT,"Data Scientist",16904,584,584,351
EN,FT,"Big Data Engineer",16228,585,585,352
EN,PT,"ML Engineer",15966,586,586,353
EN,FT,"Data Scientist",13400,587,587,354
MI,FT,"Data Scientist",12901,588,588,355
MI,FT,"Data Engineer",12103,589,589,356
EN,PT,"AI Scientist",12000,590,590,357
EN,PT,"AI Scientist",12000,591,590,357
MI,FL,"Machine Learning Scientist",12000,592,590,357
EN,PT,"Data Analyst",10354,593,593,358
EN,FT,"Data Analyst",10000,594,594,359
EN,FT,"Computer Vision Engineer",10000,595,594,359
MI,FT,"Data Scientist",9466,596,596,360
EN,FT,"BI Data Analyst",9272,597,597,361
MI,FT,"Data Analyst",8000,598,598,362
MI,FT,"Product Data Analyst",6072,599,599,363
EN,FT,"Data Analyst",6072,600,599,363
EN,FT,"Big Data Engineer",5882,601,601,364
EN,FT,"Data Science Consultant",5707,602,602,365
MI,FT,"Data Scientist",5679,603,603,366
MI,PT,"3D Computer Vision Researcher",5409,604,604,367
MI,FT,"Data Engineer",4000,605,605,368
EN,FT,"Data Scientist",4000,606,605,368
MI,FT,"Data Scientist",2859,607,607,369
